x;y;z
-5;-5;1.0
-4.75;-5;0.9666666666666667
-4.5;-5;1.0
-4.25;-5;0.9666666666666667
-4.0;-5;0.9666666666666667
-3.75;-5;1.0
-3.5;-5;1.0
-3.25;-5;1.0
-3.0;-5;1.0
-2.75;-5;0.9666666666666667
-2.5;-5;1.0
-2.25;-5;1.0
-2.0;-5;0.9666666666666667
-1.75;-5;0.9666666666666667
-1.5;-5;1.0
-1.25;-5;1.0
-1.0;-5;1.0
-0.75;-5;1.0
-0.5;-5;0.9333333333333333
-0.25;-5;1.0
0.0;-5;1.0
0.25;-5;0.9666666666666667
0.5;-5;1.0
0.75;-5;1.0
1.0;-5;1.0
1.25;-5;0.9666666666666667
1.5;-5;1.0
1.75;-5;1.0
2.0;-5;1.0
2.25;-5;1.0
2.5;-5;0.9666666666666667
2.75;-5;0.9666666666666667
3.0;-5;1.0
3.25;-5;1.0
3.5;-5;1.0
3.75;-5;1.0
4.0;-5;1.0
4.25;-5;1.0
4.5;-5;1.0
4.75;-5;0.9666666666666667
5.0;-5;0.9666666666666667
-5;-4.75;1.0
-4.75;-4.75;1.0
-4.5;-4.75;1.0
-4.25;-4.75;0.9666666666666667
-4.0;-4.75;0.9
-3.75;-4.75;1.0
-3.5;-4.75;1.0
-3.25;-4.75;1.0
-3.0;-4.75;0.9333333333333333
-2.75;-4.75;0.9
-2.5;-4.75;0.9666666666666667
-2.25;-4.75;1.0
-2.0;-4.75;1.0
-1.75;-4.75;0.8666666666666667
-1.5;-4.75;0.9666666666666667
-1.25;-4.75;0.9666666666666667
-1.0;-4.75;1.0
-0.75;-4.75;0.9666666666666667
-0.5;-4.75;1.0
-0.25;-4.75;1.0
0.0;-4.75;0.9
0.25;-4.75;0.9666666666666667
0.5;-4.75;1.0
0.75;-4.75;1.0
1.0;-4.75;1.0
1.25;-4.75;0.9666666666666667
1.5;-4.75;1.0
1.75;-4.75;1.0
2.0;-4.75;1.0
2.25;-4.75;1.0
2.5;-4.75;1.0
2.75;-4.75;0.9666666666666667
3.0;-4.75;1.0
3.25;-4.75;1.0
3.5;-4.75;1.0
3.75;-4.75;1.0
4.0;-4.75;1.0
4.25;-4.75;1.0
4.5;-4.75;0.9666666666666667
4.75;-4.75;1.0
5.0;-4.75;1.0
-5;-4.5;0.9333333333333333
-4.75;-4.5;1.0
-4.5;-4.5;1.0
-4.25;-4.5;0.9666666666666667
-4.0;-4.5;1.0
-3.75;-4.5;0.9333333333333333
