m,prob_annealed,prob_random,real
2,1.1636160782536282,1.5564105124763012,1.961113857326109
2,2.0074720641797414,2.0376359620679185,2.562412503267838
2,1.9494332636718994,1.5467897057981856,2.898866527343799
3,1.0,2.7129620028860875,2.736689377816417
3,1.525204647223209,2.050409294446418,2.3032900820966637
3,1.938984989134517,2.6831280110315316,2.8031591557797872
4,1.0,1.8891084021465439,2.059479892127212
4,1.9705971416215484,1.7779354530257796,2.902135603859179
4,1.8480310738231958,2.8690674297884424,2.8690674297884424
5,1.3095973389604174,2.1248180058958486,2.2992233463452543
5,1.3280129446496929,2.309610953501129,2.314455973437201
5,1.9565785911862235,2.896782032443832,2.9526008599583635
6,1.9079629306652655,2.936308092739897,2.9730403837948858
6,1.9227303307021133,2.8995100883217035,2.91967656827983
6,1.7805591494034871,2.7729413594729757,2.774952824760377
