m,prob_annealed,prob_random,real
2,1.0,1.0,3.0
2,3.0,-0.9999999999999993,3.0
2,1.0,1.0,3.0
2,-1.0,-1.0,1.0
2,1.0,1.0,3.0
2,1.0,1.0,3.0
2,-1.0,-1.0,1.0
2,-1.0,-1.0,1.0
2,0.9999999999911168,-1.0,1.0
2,2.999999999999767,3.0,3.0
3,0.2729050805631328,1.0,1.0
3,2.999999993972014,-1.0,3.0
3,3.0,3.0,3.0
3,3.0,3.0,3.0
3,1.0,1.0,3.0
3,1.0,1.0,3.0
3,1.0,3.0,3.0
3,3.0,2.999999999999997,3.0
3,1.0,3.0,3.0
3,3.0,1.0,3.0
4,1.0,1.0,3.0
4,-1.0,-1.0,3.0
4,1.0203016017719844,-0.9981411229128986,3.0
4,3.0,-1.0,3.0
4,-1.0,1.0,3.0
4,1.0,3.0,3.0
4,1.0,-1.0,3.0
4,0.9999990112786693,1.0,3.0
4,-0.9971722323750787,-1.0,1.0028277676249213
4,-1.0,1.0,3.0
5,-1.0,1.0000026876209436,3.0
5,1.0,3.0,3.0
5,1.0,1.0,3.0
5,1.0,1.0,3.0
5,1.0,-1.0,3.0
5,0.9999999818909283,1.0,3.0
5,1.0,1.0,3.0
5,-1.0,0.995867699919909,3.0
5,-1.0,1.0001865248495476,3.0
5,0.9999999999999726,1.0,3.0
6,1.0,1.100422546380533,3.0
6,0.9999999999991612,1.0,3.0
6,-1.0,1.0,3.0
6,3.0,2.9940823509561856,3.0
6,1.0,1.0,3.0
6,1.0,-1.0,3.0
6,1.0,-1.0,3.0
6,2.9904540397704737,2.9904540397704737,3.0
6,1.0,1.0,3.0
6,1.0,1.0000000000010245,3.0
